role_a,role_b,co_demand
amount_threshold,amount_threshold,0.2849
amount_threshold,metric,0.0
amount_threshold,value,0.0
amount_threshold,condition,0.0
amount_threshold,rule,0.0
amount_threshold,exception,0.0
amount_threshold,variance,0.0
amount_threshold,variance_driver,0.0
amount_threshold,audience,0.0
amount_threshold,scope,0.0
amount_threshold,effective_date,0.0
amount_threshold,region,0.0833
amount_threshold,period,0.0
amount_threshold,owner,0.0
amount_threshold,sla,0.0
amount_threshold,approver,0.0595
amount_threshold,escalation_target,0.0
metric,amount_threshold,0.0
metric,metric,0.1683
metric,value,0.1683
metric,condition,0.0
metric,rule,0.0
metric,exception,0.0
metric,variance,0.0
metric,variance_driver,0.0
metric,audience,0.0
metric,scope,0.0
metric,effective_date,0.0
metric,region,0.0
metric,period,0.0247
metric,owner,0.0
metric,sla,0.0
metric,approver,0.0
metric,escalation_target,0.0
value,amount_threshold,0.0
value,metric,0.1683
value,value,0.1683
value,condition,0.0
value,rule,0.0
value,exception,0.0
value,variance,0.0
value,variance_driver,0.0
value,audience,0.0
value,scope,0.0
value,effective_date,0.0
value,region,0.0
value,period,0.0247
value,owner,0.0
value,sla,0.0
value,approver,0.0
value,escalation_target,0.0
condition,amount_threshold,0.0
condition,metric,0.0
condition,value,0.0
condition,condition,0.2044
condition,rule,0.1134
condition,exception,0.091
condition,variance,0.0
condition,variance_driver,0.0
condition,audience,0.0
condition,scope,0.0
condition,effective_date,0.0
condition,region,0.0
condition,period,0.0
condition,owner,0.0
condition,sla,0.0
condition,approver,0.0
condition,escalation_target,0.0
rule,amount_threshold,0.0
rule,metric,0.0
rule,value,0.0
rule,condition,0.1134
rule,rule,0.1134
rule,exception,0.0
rule,variance,0.0
rule,variance_driver,0.0
rule,audience,0.0
rule,scope,0.0
rule,effective_date,0.0
rule,region,0.0
rule,period,0.0
rule,owner,0.0
rule,sla,0.0
rule,approver,0.0
rule,escalation_target,0.0
exception,amount_threshold,0.0
exception,metric,0.0
exception,value,0.0
exception,condition,0.091
exception,rule,0.0
exception,exception,0.091
exception,variance,0.0
exception,variance_driver,0.0
exception,audience,0.0
exception,scope,0.0
exception,effective_date,0.0
exception,region,0.0
exception,period,0.0
exception,owner,0.0
exception,sla,0.0
exception,approver,0.0
exception,escalation_target,0.0
variance,amount_threshold,0.0
variance,metric,0.0
variance,value,0.0
variance,condition,0.0
variance,rule,0.0
variance,exception,0.0
variance,variance,0.0959
variance,variance_driver,0.0679
variance,audience,0.0
variance,scope,0.0
variance,effective_date,0.0
variance,region,0.0
variance,period,0.0
variance,owner,0.0
variance,sla,0.0
variance,approver,0.0
variance,escalation_target,0.0
variance_driver,amount_threshold,0.0
variance_driver,metric,0.0
variance_driver,value,0.0
variance_driver,condition,0.0
variance_driver,rule,0.0
variance_driver,exception,0.0
variance_driver,variance,0.0679
variance_driver,variance_driver,0.0679
variance_driver,audience,0.0
variance_driver,scope,0.0
variance_driver,effective_date,0.0
variance_driver,region,0.0
variance_driver,period,0.0
variance_driver,owner,0.0
variance_driver,sla,0.0
variance_driver,approver,0.0
variance_driver,escalation_target,0.0
audience,amount_threshold,0.0
audience,metric,0.0
audience,value,0.0
audience,condition,0.0
audience,rule,0.0
audience,exception,0.0
audience,variance,0.0
audience,variance_driver,0.0
audience,audience,0.0607
audience,scope,0.0607
audience,effective_date,0.0
audience,region,0.0
audience,period,0.0
audience,owner,0.0
audience,sla,0.0
audience,approver,0.0
audience,escalation_target,0.0
scope,amount_threshold,0.0
scope,metric,0.0
scope,value,0.0
scope,condition,0.0
scope,rule,0.0
scope,exception,0.0
scope,variance,0.0
scope,variance_driver,0.0
scope,audience,0.0607
scope,scope,0.0607
scope,effective_date,0.0
scope,region,0.0
scope,period,0.0
scope,owner,0.0
scope,sla,0.0
scope,approver,0.0
scope,escalation_target,0.0
effective_date,amount_threshold,0.0
effective_date,metric,0.0
effective_date,value,0.0
effective_date,condition,0.0
effective_date,rule,0.0
effective_date,exception,0.0
effective_date,variance,0.0
effective_date,variance_driver,0.0
effective_date,audience,0.0
effective_date,scope,0.0
effective_date,effective_date,0.0472
effective_date,region,0.0
effective_date,period,0.0
effective_date,owner,0.0
effective_date,sla,0.0
effective_date,approver,0.0
effective_date,escalation_target,0.0
region,amount_threshold,0.0833
region,metric,0.0
region,value,0.0
region,condition,0.0
region,rule,0.0
region,exception,0.0
region,variance,0.0
region,variance_driver,0.0
region,audience,0.0
region,scope,0.0
region,effective_date,0.0
region,region,0.1146
region,period,0.0
region,owner,0.0
region,sla,0.0
region,approver,0.0596
region,escalation_target,0.0
period,amount_threshold,0.0
period,metric,0.0247
period,value,0.0247
period,condition,0.0
period,rule,0.0
period,exception,0.0
period,variance,0.0
period,variance_driver,0.0
period,audience,0.0
period,scope,0.0
period,effective_date,0.0
period,region,0.0
period,period,0.0247
period,owner,0.0
period,sla,0.0
period,approver,0.0
period,escalation_target,0.0
owner,amount_threshold,0.0
owner,metric,0.0
owner,value,0.0
owner,condition,0.0
owner,rule,0.0
owner,exception,0.0
owner,variance,0.0
owner,variance_driver,0.0
owner,audience,0.0
owner,scope,0.0
owner,effective_date,0.0
owner,region,0.0
owner,period,0.0
owner,owner,0.0241
owner,sla,0.0
owner,approver,0.0
owner,escalation_target,0.0
sla,amount_threshold,0.0
sla,metric,0.0
sla,value,0.0
sla,condition,0.0
sla,rule,0.0
sla,exception,0.0
sla,variance,0.0
sla,variance_driver,0.0
sla,audience,0.0
sla,scope,0.0
sla,effective_date,0.0
sla,region,0.0
sla,period,0.0
sla,owner,0.0
sla,sla,0.025
sla,approver,0.0
sla,escalation_target,0.0
approver,amount_threshold,0.0595
approver,metric,0.0
approver,value,0.0
approver,condition,0.0
approver,rule,0.0
approver,exception,0.0
approver,variance,0.0
approver,variance_driver,0.0
approver,audience,0.0
approver,scope,0.0
approver,effective_date,0.0
approver,region,0.0596
approver,period,0.0
approver,owner,0.0
approver,sla,0.0
approver,approver,0.1224
approver,escalation_target,0.0
escalation_target,amount_threshold,0.0
escalation_target,metric,0.0
escalation_target,value,0.0
escalation_target,condition,0.0
escalation_target,rule,0.0
escalation_target,exception,0.0
escalation_target,variance,0.0
escalation_target,variance_driver,0.0
escalation_target,audience,0.0
escalation_target,scope,0.0
escalation_target,effective_date,0.0
escalation_target,region,0.0
escalation_target,period,0.0
escalation_target,owner,0.0
escalation_target,sla,0.0
escalation_target,approver,0.0
escalation_target,escalation_target,0.0267
