node_id,node_type,label,density
qproto_001_threshold_lookup,prototype,threshold_lookup(amount_threshold),0.9737
qproto_002_metric_lookup,prototype,metric_lookup(metric),0.8208
qproto_003_rule_lookup,prototype,rule_lookup(subject),0.648
qproto_004_exception_lookup,prototype,exception_lookup(condition),0.5197
qproto_005_variance_explanation,prototype,variance_explanation(metric),0.3878
qproto_006_applicability_check,prototype,applicability_check(audience),0.3466
qproto_007_effective_date_lookup,prototype,effective_date_lookup(document),0.2694
qproto_008_threshold_lookup,prototype,"threshold_lookup(amount_threshold, region)",0.3137
qproto_009_metric_lookup,prototype,"metric_lookup(metric, period)",0.141
qproto_010_variance_explanation,prototype,variance_explanation(metric),0.1603
qproto_011_owner_lookup,prototype,owner_lookup(object),0.1375
qproto_012_sla_lookup,prototype,sla_lookup(step),0.143
qproto_013_approval_lookup,prototype,"approval_lookup(region, transaction_type)",0.1787
qproto_014_approval_lookup,prototype,approval_lookup(transaction_type),0.1805
qproto_015_approval_lookup,prototype,"approval_lookup(amount_threshold, transaction_type)",0.1781
qproto_016_escalation_lookup,prototype,escalation_lookup(trigger),0.1526
qproto_017_approval_lookup,prototype,"approval_lookup(amount_threshold, region, transaction_type)",0.1621
frag_00001,fragment,frag_00001,
frag_00002,fragment,frag_00002,
frag_00004,fragment,frag_00004,
frag_00005,fragment,frag_00005,
frag_00006,fragment,frag_00006,
frag_00025,fragment,frag_00025,
frag_00027,fragment,frag_00027,
frag_00028,fragment,frag_00028,
frag_00029,fragment,frag_00029,
frag_00034,fragment,frag_00034,
frag_00037,fragment,frag_00037,
frag_00041,fragment,frag_00041,
frag_00043,fragment,frag_00043,
frag_00047,fragment,frag_00047,
frag_00048,fragment,frag_00048,
frag_00049,fragment,frag_00049,
frag_00066,fragment,frag_00066,
frag_00071,fragment,frag_00071,
frag_00072,fragment,frag_00072,
frag_00084,fragment,frag_00084,
frag_00085,fragment,frag_00085,
frag_00086,fragment,frag_00086,
frag_00090,fragment,frag_00090,
frag_00092,fragment,frag_00092,
frag_00099,fragment,frag_00099,
frag_00101,fragment,frag_00101,
frag_00104,fragment,frag_00104,
frag_00110,fragment,frag_00110,
frag_00125,fragment,frag_00125,
frag_00129,fragment,frag_00129,
frag_00131,fragment,frag_00131,
frag_00133,fragment,frag_00133,
frag_00135,fragment,frag_00135,
frag_00137,fragment,frag_00137,
frag_00139,fragment,frag_00139,
frag_00140,fragment,frag_00140,
frag_00150,fragment,frag_00150,
frag_00157,fragment,frag_00157,
frag_00160,fragment,frag_00160,
frag_00164,fragment,frag_00164,
frag_00168,fragment,frag_00168,
frag_00170,fragment,frag_00170,
frag_00171,fragment,frag_00171,
frag_00174,fragment,frag_00174,
frag_00177,fragment,frag_00177,
frag_00181,fragment,frag_00181,
frag_00192,fragment,frag_00192,
frag_00194,fragment,frag_00194,
frag_00196,fragment,frag_00196,
frag_00197,fragment,frag_00197,
frag_00198,fragment,frag_00198,
frag_00199,fragment,frag_00199,
frag_00200,fragment,frag_00200,
frag_00204,fragment,frag_00204,
frag_00208,fragment,frag_00208,
frag_00210,fragment,frag_00210,
frag_00211,fragment,frag_00211,
frag_00215,fragment,frag_00215,
frag_00216,fragment,frag_00216,
frag_00217,fragment,frag_00217,
frag_00218,fragment,frag_00218,
frag_00225,fragment,frag_00225,
frag_00226,fragment,frag_00226,
frag_00227,fragment,frag_00227,
frag_00228,fragment,frag_00228,
frag_00240,fragment,frag_00240,
frag_00247,fragment,frag_00247,
frag_00253,fragment,frag_00253,
frag_00262,fragment,frag_00262,
frag_00263,fragment,frag_00263,
frag_00264,fragment,frag_00264,
frag_00265,fragment,frag_00265,
frag_00267,fragment,frag_00267,
frag_00268,fragment,frag_00268,
frag_00269,fragment,frag_00269,
frag_00270,fragment,frag_00270,
frag_00274,fragment,frag_00274,
frag_00279,fragment,frag_00279,
frag_00281,fragment,frag_00281,
frag_00284,fragment,frag_00284,
frag_00285,fragment,frag_00285,
frag_00286,fragment,frag_00286,
frag_00288,fragment,frag_00288,
frag_00289,fragment,frag_00289,
frag_00290,fragment,frag_00290,
frag_00297,fragment,frag_00297,
frag_00299,fragment,frag_00299,
frag_00300,fragment,frag_00300,
frag_00301,fragment,frag_00301,
frag_00302,fragment,frag_00302,
frag_00305,fragment,frag_00305,
frag_00306,fragment,frag_00306,
frag_00307,fragment,frag_00307,
frag_00308,fragment,frag_00308,
frag_00309,fragment,frag_00309,
frag_00316,fragment,frag_00316,
frag_00318,fragment,frag_00318,
frag_00320,fragment,frag_00320,
frag_00323,fragment,frag_00323,
frag_00326,fragment,frag_00326,
frag_00343,fragment,frag_00343,
frag_00346,fragment,frag_00346,
frag_00347,fragment,frag_00347,
frag_00349,fragment,frag_00349,
frag_00357,fragment,frag_00357,
frag_00358,fragment,frag_00358,
frag_00359,fragment,frag_00359,
frag_00360,fragment,frag_00360,
frag_00369,fragment,frag_00369,
frag_00374,fragment,frag_00374,
frag_00375,fragment,frag_00375,
frag_00380,fragment,frag_00380,
frag_00381,fragment,frag_00381,
frag_00382,fragment,frag_00382,
frag_00389,fragment,frag_00389,
frag_00390,fragment,frag_00390,
frag_00393,fragment,frag_00393,
frag_00397,fragment,frag_00397,
frag_00398,fragment,frag_00398,
frag_00400,fragment,frag_00400,
frag_00402,fragment,frag_00402,
frag_00403,fragment,frag_00403,
frag_00404,fragment,frag_00404,
frag_00408,fragment,frag_00408,
frag_00409,fragment,frag_00409,
frag_00411,fragment,frag_00411,
frag_00413,fragment,frag_00413,
frag_00414,fragment,frag_00414,
frag_00415,fragment,frag_00415,
frag_00416,fragment,frag_00416,
frag_00417,fragment,frag_00417,
frag_00418,fragment,frag_00418,
frag_00419,fragment,frag_00419,
frag_00422,fragment,frag_00422,
frag_00424,fragment,frag_00424,
frag_00425,fragment,frag_00425,
frag_00426,fragment,frag_00426,
frag_00434,fragment,frag_00434,
frag_00435,fragment,frag_00435,
frag_00437,fragment,frag_00437,
frag_00438,fragment,frag_00438,
frag_00439,fragment,frag_00439,
frag_00440,fragment,frag_00440,
frag_00441,fragment,frag_00441,
frag_00442,fragment,frag_00442,
frag_00443,fragment,frag_00443,
frag_00444,fragment,frag_00444,
frag_00445,fragment,frag_00445,
frag_00446,fragment,frag_00446,
frag_00448,fragment,frag_00448,
frag_00449,fragment,frag_00449,
frag_00450,fragment,frag_00450,
frag_00452,fragment,frag_00452,
frag_00454,fragment,frag_00454,
frag_00455,fragment,frag_00455,
frag_00456,fragment,frag_00456,
frag_00457,fragment,frag_00457,
frag_00458,fragment,frag_00458,
frag_00460,fragment,frag_00460,
frag_00465,fragment,frag_00465,
frag_00466,fragment,frag_00466,
frag_00468,fragment,frag_00468,
frag_00470,fragment,frag_00470,
frag_00475,fragment,frag_00475,
frag_00476,fragment,frag_00476,
frag_00479,fragment,frag_00479,
frag_00480,fragment,frag_00480,
frag_00485,fragment,frag_00485,
frag_00486,fragment,frag_00486,
frag_00487,fragment,frag_00487,
frag_00490,fragment,frag_00490,
frag_00497,fragment,frag_00497,
frag_00499,fragment,frag_00499,
frag_00500,fragment,frag_00500,
frag_00502,fragment,frag_00502,
frag_00505,fragment,frag_00505,
frag_00509,fragment,frag_00509,
frag_00533,fragment,frag_00533,
frag_00538,fragment,frag_00538,
frag_00539,fragment,frag_00539,
frag_00540,fragment,frag_00540,
frag_00545,fragment,frag_00545,
frag_00546,fragment,frag_00546,
frag_00547,fragment,frag_00547,
frag_00553,fragment,frag_00553,
frag_00554,fragment,frag_00554,
frag_00576,fragment,frag_00576,
frag_00577,fragment,frag_00577,
frag_00579,fragment,frag_00579,
frag_00581,fragment,frag_00581,
frag_00584,fragment,frag_00584,
frag_00585,fragment,frag_00585,
frag_00586,fragment,frag_00586,
frag_00588,fragment,frag_00588,
frag_00590,fragment,frag_00590,
frag_00592,fragment,frag_00592,
frag_00596,fragment,frag_00596,
frag_00597,fragment,frag_00597,
frag_00598,fragment,frag_00598,
frag_00602,fragment,frag_00602,
frag_00605,fragment,frag_00605,
frag_00609,fragment,frag_00609,
frag_00615,fragment,frag_00615,
frag_00618,fragment,frag_00618,
frag_00619,fragment,frag_00619,
frag_00622,fragment,frag_00622,
frag_00624,fragment,frag_00624,
frag_00625,fragment,frag_00625,
frag_00626,fragment,frag_00626,
frag_00627,fragment,frag_00627,
frag_00628,fragment,frag_00628,
frag_00632,fragment,frag_00632,
frag_00635,fragment,frag_00635,
frag_00636,fragment,frag_00636,
frag_00641,fragment,frag_00641,
frag_00643,fragment,frag_00643,
frag_00645,fragment,frag_00645,
frag_00646,fragment,frag_00646,
frag_00647,fragment,frag_00647,
frag_00648,fragment,frag_00648,
frag_00650,fragment,frag_00650,
frag_00651,fragment,frag_00651,
frag_00655,fragment,frag_00655,
frag_00656,fragment,frag_00656,
frag_00661,fragment,frag_00661,
frag_00662,fragment,frag_00662,
frag_00663,fragment,frag_00663,
frag_00664,fragment,frag_00664,
frag_00665,fragment,frag_00665,
frag_00666,fragment,frag_00666,
frag_00667,fragment,frag_00667,
frag_00668,fragment,frag_00668,
frag_00669,fragment,frag_00669,
frag_00671,fragment,frag_00671,
frag_00678,fragment,frag_00678,
frag_00679,fragment,frag_00679,
frag_00681,fragment,frag_00681,
frag_00683,fragment,frag_00683,
frag_00685,fragment,frag_00685,
frag_00686,fragment,frag_00686,
frag_00691,fragment,frag_00691,
frag_00696,fragment,frag_00696,
frag_00697,fragment,frag_00697,
frag_00698,fragment,frag_00698,
frag_00699,fragment,frag_00699,
frag_00701,fragment,frag_00701,
frag_00702,fragment,frag_00702,
frag_00704,fragment,frag_00704,
frag_00706,fragment,frag_00706,
frag_00709,fragment,frag_00709,
frag_00710,fragment,frag_00710,
frag_00711,fragment,frag_00711,
frag_00713,fragment,frag_00713,
frag_00714,fragment,frag_00714,
frag_00716,fragment,frag_00716,
frag_00719,fragment,frag_00719,
frag_00720,fragment,frag_00720,
frag_00721,fragment,frag_00721,
frag_00722,fragment,frag_00722,
frag_00735,fragment,frag_00735,
frag_00737,fragment,frag_00737,
frag_00738,fragment,frag_00738,
frag_00743,fragment,frag_00743,
frag_00746,fragment,frag_00746,
frag_00753,fragment,frag_00753,
frag_00754,fragment,frag_00754,
frag_00759,fragment,frag_00759,
frag_00760,fragment,frag_00760,
frag_00761,fragment,frag_00761,
frag_00764,fragment,frag_00764,
frag_00765,fragment,frag_00765,
frag_00766,fragment,frag_00766,
frag_00767,fragment,frag_00767,
frag_00768,fragment,frag_00768,
frag_00769,fragment,frag_00769,
frag_00770,fragment,frag_00770,
frag_00771,fragment,frag_00771,
frag_00772,fragment,frag_00772,
frag_00773,fragment,frag_00773,
frag_00774,fragment,frag_00774,
frag_00775,fragment,frag_00775,
frag_00776,fragment,frag_00776,
frag_00777,fragment,frag_00777,
frag_00778,fragment,frag_00778,
frag_00779,fragment,frag_00779,
frag_00780,fragment,frag_00780,
frag_00785,fragment,frag_00785,
frag_00788,fragment,frag_00788,
frag_00790,fragment,frag_00790,
frag_00792,fragment,frag_00792,
frag_00796,fragment,frag_00796,
frag_00797,fragment,frag_00797,
frag_00799,fragment,frag_00799,
frag_00800,fragment,frag_00800,
frag_00801,fragment,frag_00801,
frag_00802,fragment,frag_00802,
frag_00803,fragment,frag_00803,
frag_00804,fragment,frag_00804,
frag_00808,fragment,frag_00808,
frag_00820,fragment,frag_00820,
frag_00822,fragment,frag_00822,
frag_00824,fragment,frag_00824,
frag_00826,fragment,frag_00826,
frag_00830,fragment,frag_00830,
frag_00831,fragment,frag_00831,
frag_00832,fragment,frag_00832,
frag_00833,fragment,frag_00833,
frag_00834,fragment,frag_00834,
frag_00835,fragment,frag_00835,
frag_00836,fragment,frag_00836,
frag_00839,fragment,frag_00839,
frag_00848,fragment,frag_00848,
frag_00849,fragment,frag_00849,
frag_00850,fragment,frag_00850,
frag_00851,fragment,frag_00851,
frag_00852,fragment,frag_00852,
frag_00853,fragment,frag_00853,
frag_00854,fragment,frag_00854,
frag_00861,fragment,frag_00861,
frag_00862,fragment,frag_00862,
frag_00863,fragment,frag_00863,
frag_00869,fragment,frag_00869,
frag_00877,fragment,frag_00877,
frag_00880,fragment,frag_00880,
frag_00881,fragment,frag_00881,
frag_00897,fragment,frag_00897,
frag_00898,fragment,frag_00898,
frag_00899,fragment,frag_00899,
frag_00902,fragment,frag_00902,
frag_00904,fragment,frag_00904,
frag_00906,fragment,frag_00906,
frag_00907,fragment,frag_00907,
frag_00924,fragment,frag_00924,
frag_00931,fragment,frag_00931,
frag_00933,fragment,frag_00933,
frag_00934,fragment,frag_00934,
frag_00936,fragment,frag_00936,
frag_00937,fragment,frag_00937,
frag_00940,fragment,frag_00940,
frag_00942,fragment,frag_00942,
frag_00956,fragment,frag_00956,
frag_00957,fragment,frag_00957,
frag_00960,fragment,frag_00960,
frag_00962,fragment,frag_00962,
frag_00964,fragment,frag_00964,
frag_00966,fragment,frag_00966,
frag_00967,fragment,frag_00967,
frag_00968,fragment,frag_00968,
frag_00980,fragment,frag_00980,
frag_00982,fragment,frag_00982,
frag_00983,fragment,frag_00983,
frag_00984,fragment,frag_00984,
frag_00985,fragment,frag_00985,
frag_00989,fragment,frag_00989,
frag_00990,fragment,frag_00990,
frag_00992,fragment,frag_00992,
frag_00996,fragment,frag_00996,
frag_00999,fragment,frag_00999,
frag_01002,fragment,frag_01002,
frag_01003,fragment,frag_01003,
frag_01008,fragment,frag_01008,
frag_01010,fragment,frag_01010,
frag_01013,fragment,frag_01013,
frag_01014,fragment,frag_01014,
frag_01015,fragment,frag_01015,
frag_01019,fragment,frag_01019,
frag_01021,fragment,frag_01021,
frag_01032,fragment,frag_01032,
frag_01033,fragment,frag_01033,
frag_01038,fragment,frag_01038,
frag_01039,fragment,frag_01039,
frag_01040,fragment,frag_01040,
frag_01042,fragment,frag_01042,
frag_01043,fragment,frag_01043,
frag_01049,fragment,frag_01049,
frag_01051,fragment,frag_01051,
frag_01052,fragment,frag_01052,
frag_01053,fragment,frag_01053,
frag_01054,fragment,frag_01054,
frag_01055,fragment,frag_01055,
frag_01056,fragment,frag_01056,
frag_01064,fragment,frag_01064,
frag_01069,fragment,frag_01069,
frag_01075,fragment,frag_01075,
frag_01076,fragment,frag_01076,
frag_01077,fragment,frag_01077,
frag_01078,fragment,frag_01078,
frag_01079,fragment,frag_01079,
frag_01080,fragment,frag_01080,
frag_01081,fragment,frag_01081,
frag_01082,fragment,frag_01082,
frag_01083,fragment,frag_01083,
frag_01084,fragment,frag_01084,
frag_01089,fragment,frag_01089,
frag_01090,fragment,frag_01090,
frag_01092,fragment,frag_01092,
frag_01094,fragment,frag_01094,
frag_01098,fragment,frag_01098,
frag_01102,fragment,frag_01102,
frag_01104,fragment,frag_01104,
frag_01106,fragment,frag_01106,
frag_01107,fragment,frag_01107,
frag_01116,fragment,frag_01116,
frag_01118,fragment,frag_01118,
frag_01119,fragment,frag_01119,
frag_01132,fragment,frag_01132,
frag_01134,fragment,frag_01134,
frag_01138,fragment,frag_01138,
frag_01139,fragment,frag_01139,
frag_01140,fragment,frag_01140,
frag_01145,fragment,frag_01145,
frag_01146,fragment,frag_01146,
frag_01147,fragment,frag_01147,
frag_01150,fragment,frag_01150,
frag_01153,fragment,frag_01153,
frag_01160,fragment,frag_01160,
frag_01163,fragment,frag_01163,
frag_01174,fragment,frag_01174,
frag_01175,fragment,frag_01175,
frag_01176,fragment,frag_01176,
frag_01178,fragment,frag_01178,
frag_01180,fragment,frag_01180,
frag_01181,fragment,frag_01181,
frag_01182,fragment,frag_01182,
frag_01185,fragment,frag_01185,
frag_01187,fragment,frag_01187,
frag_01189,fragment,frag_01189,
frag_01190,fragment,frag_01190,
frag_01196,fragment,frag_01196,
frag_01198,fragment,frag_01198,
frag_01199,fragment,frag_01199,
frag_01200,fragment,frag_01200,
frag_01206,fragment,frag_01206,
frag_01207,fragment,frag_01207,
frag_01208,fragment,frag_01208,
frag_01220,fragment,frag_01220,
frag_01221,fragment,frag_01221,
frag_01224,fragment,frag_01224,
frag_01255,fragment,frag_01255,
frag_01257,fragment,frag_01257,
frag_01258,fragment,frag_01258,
frag_01264,fragment,frag_01264,
frag_01267,fragment,frag_01267,
frag_01280,fragment,frag_01280,
frag_01284,fragment,frag_01284,
frag_01286,fragment,frag_01286,
frag_01288,fragment,frag_01288,
frag_01289,fragment,frag_01289,
frag_01290,fragment,frag_01290,
frag_01293,fragment,frag_01293,
frag_01295,fragment,frag_01295,
frag_01296,fragment,frag_01296,
frag_01299,fragment,frag_01299,
frag_01300,fragment,frag_01300,
frag_01302,fragment,frag_01302,
frag_01303,fragment,frag_01303,
frag_01307,fragment,frag_01307,
frag_01308,fragment,frag_01308,
frag_01309,fragment,frag_01309,
frag_01311,fragment,frag_01311,
frag_01315,fragment,frag_01315,
frag_01327,fragment,frag_01327,
frag_01331,fragment,frag_01331,
frag_01332,fragment,frag_01332,
frag_01337,fragment,frag_01337,
frag_01338,fragment,frag_01338,
frag_01341,fragment,frag_01341,
frag_01342,fragment,frag_01342,
frag_01343,fragment,frag_01343,
frag_01344,fragment,frag_01344,
frag_01363,fragment,frag_01363,
frag_01364,fragment,frag_01364,
frag_01366,fragment,frag_01366,
frag_01367,fragment,frag_01367,
frag_01369,fragment,frag_01369,
frag_01381,fragment,frag_01381,
frag_01382,fragment,frag_01382,
frag_01383,fragment,frag_01383,
frag_01387,fragment,frag_01387,
frag_01388,fragment,frag_01388,
frag_01389,fragment,frag_01389,
frag_01397,fragment,frag_01397,
frag_01398,fragment,frag_01398,
frag_01399,fragment,frag_01399,
frag_01402,fragment,frag_01402,
frag_01403,fragment,frag_01403,
frag_01404,fragment,frag_01404,
frag_01409,fragment,frag_01409,
frag_01410,fragment,frag_01410,
frag_01428,fragment,frag_01428,
frag_01429,fragment,frag_01429,
frag_01430,fragment,frag_01430,
frag_01435,fragment,frag_01435,
frag_01453,fragment,frag_01453,
frag_01454,fragment,frag_01454,
frag_01459,fragment,frag_01459,
frag_01464,fragment,frag_01464,
frag_01468,fragment,frag_01468,
frag_01470,fragment,frag_01470,
frag_01471,fragment,frag_01471,
frag_01472,fragment,frag_01472,
frag_01481,fragment,frag_01481,
frag_01488,fragment,frag_01488,
frag_01490,fragment,frag_01490,
frag_01491,fragment,frag_01491,
frag_01492,fragment,frag_01492,
frag_01493,fragment,frag_01493,
frag_01494,fragment,frag_01494,
frag_01499,fragment,frag_01499,
frag_01500,fragment,frag_01500,
frag_01504,fragment,frag_01504,
frag_01506,fragment,frag_01506,
frag_01509,fragment,frag_01509,
